                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7079,                 2.9536,                  1.794,                0.53234,                0.35458,                0.27929,                 0.1336,                 2.1505,                  2.787,                 2.1454,             0.00033016,             0.00033016,             0.00033016
                      2,                 1.6074,                  2.185,                 1.6832,                0.49287,                 0.5371,                0.50336,                0.23304,                 1.8735,                 2.1826,                 1.8796,             0.00066021,             0.00066021,             0.00066021
                      3,                 1.5778,                 2.0255,                 1.6596,                0.44146,                0.78118,                0.56668,                0.27129,                 1.6484,                 2.3932,                  1.789,             0.00098696,             0.00098696,             0.00098696
                      4,                 1.5692,                 1.9538,                  1.667,                0.56893,                0.49158,                0.42755,                0.20154,                 1.9327,                 2.1172,                  1.958,             0.00098515,             0.00098515,             0.00098515
                      5,                  1.559,                 1.8563,                 1.6372,                0.55057,                0.62373,                0.63622,                0.32647,                 1.5766,                 1.6805,                 1.7011,             0.00098515,             0.00098515,             0.00098515
                      6,                 1.5502,                  1.806,                 1.6329,                0.74631,                0.55507,                0.69032,                0.35629,                 1.6727,                  1.535,                 1.6664,              0.0009802,              0.0009802,              0.0009802
                      7,                 1.5179,                 1.7172,                 1.5981,                0.51986,                0.68035,                0.64167,                0.32818,                 1.6426,                 1.7512,                   1.79,             0.00097525,             0.00097525,             0.00097525
                      8,                 1.4793,                 1.6434,                 1.5868,                0.76703,                0.52834,                0.63134,                0.36192,                 1.5515,                 1.5313,                 1.6719,              0.0009703,              0.0009703,              0.0009703
                      9,                 1.4856,                 1.5991,                 1.5879,                0.76266,                0.55382,                0.69429,                0.32845,                 1.6743,                 1.6775,                  1.728,             0.00096535,             0.00096535,             0.00096535
                     10,                 1.4559,                  1.576,                 1.5654,                0.53867,                 0.6425,                0.62237,                0.36053,                  1.616,                 1.3477,                 1.7314,              0.0009604,              0.0009604,              0.0009604
                     11,                 1.4731,                 1.6004,                 1.5795,                0.65735,                0.61993,                0.62678,                0.26339,                 1.8406,                 1.6229,                  1.954,             0.00095545,             0.00095545,             0.00095545
                     12,                 1.4499,                 1.5828,                 1.5751,                0.58204,                0.73143,                0.67291,                0.37567,                 1.4975,                 1.3901,                 1.6344,              0.0009505,              0.0009505,              0.0009505
                     13,                 1.4698,                 1.5717,                 1.5707,                0.68627,                0.56135,                0.57445,                0.27811,                 1.7485,                 1.6914,                 1.7935,             0.00094555,             0.00094555,             0.00094555
                     14,                 1.4382,                  1.509,                 1.5425,                0.67751,                0.74399,                 0.7799,                0.38963,                 1.6277,                 1.2838,                 1.6936,              0.0009406,              0.0009406,              0.0009406
                     15,                 1.4272,                 1.4885,                 1.5361,                0.62854,                0.68814,                 0.6892,                0.41017,                 1.4901,                 1.3258,                 1.5683,             0.00093565,             0.00093565,             0.00093565
                     16,                 1.3974,                 1.4601,                  1.522,                0.51454,                0.70368,                0.66095,                0.35434,                 1.6783,                 1.4741,                 1.6672,              0.0009307,              0.0009307,              0.0009307
                     17,                 1.3926,                 1.4595,                 1.5222,                0.56934,                0.79294,                0.74861,                0.40416,                 1.5366,                 1.3313,                  1.633,             0.00092575,             0.00092575,             0.00092575
                     18,                 1.4033,                 1.4555,                 1.5364,                0.85211,                0.67042,                0.79315,                0.42502,                 1.5726,                 1.2052,                 1.6685,              0.0009208,              0.0009208,              0.0009208
                     19,                 1.4117,                 1.4633,                 1.5287,                0.71946,                0.72609,                0.73274,                0.37819,                 1.5469,                 1.5609,                 1.6663,             0.00091585,             0.00091585,             0.00091585
                     20,                 1.4226,                  1.454,                 1.5376,                0.64509,                0.69186,                0.74013,                0.41104,                  1.539,                 1.2819,                 1.6027,              0.0009109,              0.0009109,              0.0009109
                     21,                  1.392,                 1.4385,                 1.5267,                0.58332,                0.79862,                0.77476,                0.40896,                 1.4964,                 1.2493,                 1.5502,             0.00090595,             0.00090595,             0.00090595
                     22,                 1.3943,                 1.4114,                 1.5209,                0.66967,                0.80397,                 0.8073,                0.44643,                 1.5011,                 1.1957,                 1.5948,               0.000901,               0.000901,               0.000901
                     23,                  1.376,                 1.3992,                 1.4961,                0.47847,                0.77687,                0.66447,                0.36655,                  1.477,                 1.4424,                  1.656,             0.00089605,             0.00089605,             0.00089605
                     24,                 1.3728,                 1.4006,                 1.5154,                0.56476,                0.77163,                0.73418,                0.43096,                 1.4837,                 1.1721,                 1.6028,              0.0008911,              0.0008911,              0.0008911
                     25,                 1.3799,                 1.3787,                 1.5024,                 0.6154,                0.79447,                0.76029,                0.42841,                 1.4497,                 1.2559,                 1.6214,             0.00088615,             0.00088615,             0.00088615
                     26,                 1.3878,                 1.3956,                 1.5168,                0.50371,                 0.6942,                0.64709,                0.35568,                 1.7358,                 1.2245,                 1.8755,              0.0008812,              0.0008812,              0.0008812
                     27,                 1.3657,                  1.376,                 1.5028,                0.58555,                0.75119,                0.73479,                0.40697,                 1.5617,                 1.2855,                 1.6693,             0.00087625,             0.00087625,             0.00087625
                     28,                 1.3571,                 1.3612,                 1.4931,                0.57552,                0.77691,                0.75839,                0.45857,                 1.4446,                 1.1604,                 1.6519,              0.0008713,              0.0008713,              0.0008713
                     29,                 1.3606,                  1.339,                 1.4913,                0.65577,                0.72046,                0.69046,                0.43529,                 1.4115,                 1.1679,                 1.5598,             0.00086635,             0.00086635,             0.00086635
                     30,                 1.3552,                 1.3459,                 1.4976,                0.64981,                0.76599,                0.72289,                 0.4138,                 1.5734,                  1.213,                  1.717,              0.0008614,              0.0008614,              0.0008614
                     31,                 1.3489,                 1.3419,                 1.4863,                0.89943,                0.62228,                0.72044,                0.44242,                 1.5344,                 1.1623,                 1.6044,             0.00085645,             0.00085645,             0.00085645
                     32,                 1.3683,                 1.3497,                  1.495,                0.87349,                0.65495,                0.79049,                0.46028,                 1.4781,                 1.2078,                 1.5714,              0.0008515,              0.0008515,              0.0008515
                     33,                 1.3453,                 1.3452,                  1.489,                0.56001,                0.73294,                0.75736,                0.41446,                 1.5307,                 1.2589,                 1.5638,             0.00084655,             0.00084655,             0.00084655
                     34,                 1.3498,                 1.3244,                 1.4975,                0.83599,                0.62858,                 0.7293,                0.40286,                 1.5763,                 1.2163,                 1.6898,              0.0008416,              0.0008416,              0.0008416
                     35,                 1.3343,                 1.2913,                 1.4813,                0.81938,                0.67751,                0.78231,                0.45793,                 1.4727,                 1.1432,                 1.6159,             0.00083665,             0.00083665,             0.00083665
                     36,                 1.3298,                 1.3225,                  1.473,                   0.57,                0.88415,                0.80241,                0.45926,                 1.5005,                 1.1907,                 1.5477,              0.0008317,              0.0008317,              0.0008317
                     37,                 1.3383,                 1.3067,                 1.4753,                0.54675,                0.80858,                0.72981,                0.44114,                 1.4613,                 1.1744,                 1.5646,             0.00082675,             0.00082675,             0.00082675
